,word_0,word_1,word_2,word_3,word_4,word_5,word_6,word_7,word_8,word_9,word_10,word_11,word_12,word_13,word_14,word_15,word_16,word_17,word_18,word_19,word_20,word_21,word_22,word_23,word_24,word_25,word_26,word_27,word_28,word_29,word_30,word_31,word_32,word_33,word_34,word_35,word_36,word_37,word_38,word_39,word_40,word_41,word_42,word_43,word_44,word_45,word_46,word_47,word_48,word_49
0,scranton,foreign,regional,detroit,eu,massachusetts,mexico,globally,border,israel,israeli,japan,middle,tribes,westerners,frankfurt,international,madrid,philadelphia,delta,dhabi,antwerp,baltimore,mississippi,nashville,malaysia,hispanic,providence,york,kansas,hurricane,denver,taiwan,tribal,oklahoma,indigenous,athens,richmond,nationals,utahns,zambia,brookings,raghu,utah,carthage,asean,san,basel,arminio,dakota
1,fed,fdic,imf,federal,fomc,cftc,lanes,low,chip,cra,gfc,libor,fsb,nbfi,jmcb,uab,federalreserve,bureau,cbdcs,monnet,cbdc,otc,cpmi,quarter,thinktech,mdis,ring,ccyb,somc,lcr,arrc,shadow,fsf,cyclical,g20,sifi,sifis,scap,tmpg,twilio,,,,,,,,,,
2,agencies,lawyers,nonprofits,stakeholder,subsidiaries,congress,hoover,committees,branches,lawmakers,stakeholders,chairman,tenure,governors,centrally,panelists,federalreserveeducation,managers,managing,supervisory,administrations,multilateral,bipartisan,reaganites,nonpartisan,partisan,,,,,,,,,,,,,,,,,,,,,,,,
3,sovereign,sovereigns,markets,sector,dow,securities,securitization,investors,blockchain,insurance,securitizations,bond,trading,liabilities,ledgers,insurer,leverage,macroprudentialists,crypto,equity,insurers,ledger,cryptocurrencies,disclosures,analysts,broker,marketeers,reinvestment,prudentially,bids,macroprudentially,valuations,prudential,derivatives,microprudential,macroprudential,,,,,,,,,,,,,,
4,inflation,inflationary,economy,economic,economics,keynesian,keynes,gdp,economically,cpi,macroeconomic,economist,economists,macroeconomics,microeconomic,microeconomics,growth,econometric,macroeconomists,socioeconomically,globalization,econometrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,postwar,regulated,regime,regimens,reforms,infrastructure,governments,infrastructures,reform,regulation,accountability,regulators,regulator,policies,regimes,regulating,law,oversight,initiatives,enforcing,decisionmaking,policymaking,policymakers,independence,mandate,indicators,regulations,policyholder,regulatory,policymaker,governed,suffrage,policyholders,statutes,,,,,,,,,,,,,,,,
6,settlement,restructuring,crisis,consolidated,recessions,systemically,recession,liquidation,crises,liquidations,bankruptcy,diversification,bailouts,clearing,laundering,transactional,collateralized,spillbacks,liquidity,mergers,spillovers,foreclosing,refinance,capitalized,refinancing,,,,,,,,,,,,,,,,,,,,,,,,,
7,emerging,fail,aspirations,readiness,accomplishment,surprises,crucial,maturity,travel,march,modal,covid,triggers,flights,award,shortcomings,curiosity,providing,efforts,ride,depression,nobel,gratitude,celebrate,intraday,participation,anniversary,vaccinations,anhd,bring,aid,benefits,oath,,,,,,,,,,,,,,,,,
8,consensus,synchronized,counterparty,partnership,partnerships,reputational,counterparties,shadowy,noncash,digital,telemedicine,standards,integrity,fiduciary,transparency,electronically,decentralized,misconduct,intermediation,externalities,standardization,decentralization,digitalization,normalization,,,,,,,,,,,,,,,,,,,,,,,,,,
9,innovation,innovating,innovate,innovations,cutbacks,improvement,maintaining,retaining,developments,rebuilding,recovered,buybacks,tiering,streamlining,pace,revival,homebuilders,strengthen,recovering,strengthening,recovery,homebuilder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,conference,princeton,community,communities,club,civil,yale,institution,ucns,mena,facebook,institutional,public,reservations,women,institutions,youth,nyu,gender,graduation,inclusion,scholars,founding,mvsu,warships,organizers,hbcu,foundations,planetarium,commencement,undergraduate,establishing,architecture,enrollment,eccles,ideological,students,symposium,undergraduates,framework,webinar,,,,,,,,,
11,security,safeguarding,safeguard,securely,expectations,risk,uncertainties,pandemic,optimistic,uncertainty,risks,vulnerabilities,optimism,vigilance,riskiness,coronavirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,careers,employability,employment,opportunities,industries,workforces,workforce,unions,workers,entrepreneurs,entrepreneurship,payrolls,prosperity,unemployment,wages,payroll,incomes,aggregate,productivity,income,paycheck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,financial,finance,credit,bankers,finances,accounting,customers,banking,debt,lending,borrowing,bank,fintech,borrowers,creditors,banks,communitybanking,mortgages,interbank,financing,financiers,payments,nonbank,exchequer,nonbanks,mortgage,creditworthiness,debiting,riksbank,debit,bundesbank,,,,,,,,,,,,,,,,,,,
14,research,education,tech,exploring,ai,brainstormed,study,outreach,training,guidance,intellectual,educators,communicating,data,pursuing,meeting,testing,assessing,supervision,stimulus,review,speech,criticism,measurement,reviewing,fencing,teleconference,sit,,,,,,,,,,,,,,,,,,,,,,
15,shortage,families,farmers,grocery,deaths,racial,consumers,declining,farms,health,housing,sustainably,agricultural,diversity,homebuyers,household,minorities,poverty,elderly,households,shortages,deteriorating,sustainable,rural,disadvantaged,intergenerational,neighborhoods,homelessness,disparities,,,,,,,,,,,,,,,,,,,,,
16,funding,spending,budgetary,fiscal,investments,fundrise,savings,reserve,assets,funds,investment,bitcoin,oil,reserves,crowdfunding,treasury,investing,stablecoins,monetary,currency,storage,transfers,consumption,yield,invest,yields,dollar,exports,euro,currencies,expenses,trillion,rates,banknotes,peso,foreclosures,foreclosure,,,,,,,,,,,,,
17,trends,climate,proposal,future,projected,revisited,targets,prospects,roadmap,2020,2021,forward,forecasters,2019,forthcoming,predicting,smartphones,speculative,foresight,timeliness,forecasts,forecast,predictability,2022,forecasting,autopilots,benchmarks,,,,,,,,,,,,,,,,,,,,,,,
18,adjustments,slowdown,balances,balance,stress,catastrophe,mitigate,downturn,disruption,tightening,easing,flexible,weakening,shocks,disruptions,collapse,resilient,imbalances,shortfalls,overshoot,mitigating,mitigation,windfalls,gradual,resilience,stability,resiliency,instability,stabilizing,fluctuating,stresses,,,,,,,,,,,,,,,,,,,
19,camdessus,peterson,stein,steinberg,douglas,bernanke,lehman,minsky,nabe,janus,teresa,dodd,herbert,randy,michel,mervyn,friedman,alexander,joan,powell,patina,stan,hayek,kandel,mccracken,egrpra,marriner,buckley,dean,wicksell,rushmore,benoit,,,,,,,,,,,,,,,,,,
